0055 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/extensions.css HTTP/1.1 200 1134 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0056 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/datatables/dataTables.min.css HTTP/1.1 200 2480 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0057 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/datatables/dataTables.bootstrap.css HTTP/1.1 200 1929 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0058 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/font-awesome.css HTTP/1.1 200 5631 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0059 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/awesome-bootstrap-checkbox.css HTTP/1.1 200 1264 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0060 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/checkbox-build.css HTTP/1.1 200 1072 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0061 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/select2/select2.css HTTP/1.1 200 3959 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0062 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/hermes/paginator.js HTTP/1.1 200 407 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0063 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/atlas.js HTTP/1.1 200 264 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0064 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/css/select2/select2-bootstrap.css HTTP/1.1 200 547 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0065 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/jwplayer.js HTTP/1.1 200 22875 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0066 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/hermes/all-videos.js HTTP/1.1 200 308 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0067 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/noty.min.js HTTP/1.1 200 8629 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0068 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/moment.min.js HTTP/1.1 200 12558 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0069 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/readable-range.js HTTP/1.1 200 810 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0070 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/reflections.js HTTP/1.1 200 3788 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0071 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/select2/select2.min.js HTTP/1.1 200 21628 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0072 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/datatables/dataTables.bootstrap.js HTTP/1.1 200 1807 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0073 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/datatables/dataTables.min.js HTTP/1.1 200 30733 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0074 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/hourglass.js HTTP/1.1 200 1150 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0075 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/rickshaw/rickshaw.min.js HTTP/1.1 200 18053 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0076 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/jquery.easypiechart.min.js HTTP/1.1 200 1715 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0077 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/graph.js HTTP/1.1 200 2091 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0078 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/d3/d3.v2.js HTTP/1.1 200 65208 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0079 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/hermes/search-video-by-org.js HTTP/1.1 200 488 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0080 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/typeahead.min.js HTTP/1.1 200 1977 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0081 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/hermes/search-video.js HTTP/1.1 200 263 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0082 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/json.js HTTP/1.1 200 213 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0083 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/reflections/search-reflection.js HTTP/1.1 200 262 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0084 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/reflections/search-reflections-by-org-name.js HTTP/1.1 200 273 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0085 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/reflections/search-reflections-by-uid.js HTTP/1.1 200 264 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0086 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/raphael.min.js HTTP/1.1 200 36788 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0087 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/js/morris.min.js HTTP/1.1 200 11891 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0088 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /purs/app.js HTTP/1.1 200 41570 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0089 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/fonts/glyphicons-halflings-regular.woff HTTP/1.1 200 16448 https://enterprise:3031/static/css/bootstrap.min.css Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0090 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/favicon.ico HTTP/1.1 200 1150 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0091 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /purs/app.js HTTP/1.1 200 41570 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0092 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/datatables/sort_both.png HTTP/1.1 200 1136 https://enterprise:3031/static/css/datatables/dataTables.bootstrap.css Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0093 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /chronos/atlas/versions HTTP/1.1 200 12332 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0094 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/region/RGN_au.png HTTP/1.1 200 1466 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0095 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/clock.png HTTP/1.1 200 1086 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0096 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/harddisk.png HTTP/1.1 200 1263 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0097 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/cpu.png HTTP/1.1 200 1076 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0098 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/memory.png HTTP/1.1 200 951 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
0099 ACC 2016-01-12 15:04:04 UTC -       192.168.100.200 [GET /static/img/notepad.png HTTP/1.1 200 1499 https://enterprise:3031/dashboard Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0 -]
